id;nomClient;adresseClient;idEtat;id2;tempsInsc;somme1;somme2
1;Griffith Paving and Sealcoatin;talend@apres91;7;41;03/11/2006 09:20;67852;61521.4852
2;Bill's Dive Shop;511 Maple Ave.  Apt. 1B;35;5;19/11/2004 15:48;88792;15434.1000
3;Childress Child Day Care;662 Lyons Circle;1;28;16/02/2005 08:27;35340;17856.8818
4;Facelift Kitchen and Bath;unknown;0;15;22/08/2002 09:55;6097.;55560.2387
5;Terrinni & Son Auto and Truck;770 Exmoor Rd.;0;9;28/06/2001 09:15;5146.;39098.1148
6;Kermit the Pet Shop;1860 Parkside Ln.;28;15;17/08/2003 10:07;16087;29924.9294
7;Tub's Furniture Store;807 Old Trail Rd.;15;9;27/08/2000 03:13;53216;65352.5674
8;Toggle & Myerson Ltd;618 Sheriden rd.;9;15;24/03/2006 23:07;74168;77920.6026
9;Childress Child Day Care;788 Tennyson Ave.;12;33;10/09/2001 06:33;92176;56844.1263
10;Elle Hypnosis and Therapy Cent;2032 Northbrook Ct.;1;7;11/01/1977 03:07;48498;45844.9148
11;Lennox Air Pollution Control;4522 N. Greenview Apt. 1B;48;35;20/07/1987 07:13;23992;93520.1160
12;Keyth Contracting and Repair;1547 Knolwood Rd.;25;39;12/01/2000 15:33;27786;46530.0991
13;Park District Of America;2678 Sheridan Rd.;46;41;08/06/2003 11:15;5448.;29062.8166
14;Nirabi Auto Service;1915 Lewis Ln.  Apt 13;8;5;19/06/2002 07:15;23220;43086.6464
15;Darcy Frame and Matting Servic;1633 McGovern place;21;28;20/10/1987 12:22;46096;31014.8296
16;Glenwood Credit Union;511 Maple Ave.  Apt. 1B;46;15;17/07/2000 17:27;90440;31684.7929
17;Gourmet the Frog;788 Tennyson Ave.;1;9;07/09/2002 03:55;67680;62038.7700
18;Acturial Enterprises Ltd.;3385 University Ave.;34;12;07/04/2001 10:42;45292;17008.7659
19;Salt & Pepper Catering Service;965 Marion Place Apt. 65C;44;33;20/12/2006 10:02;13458;52120.6184
20;Rythmics Ltd.;1875 Roger Williams Ave.;22;48;05/01/2005 16:27;70685;28463.9495
21;Parkway Auto Body;1859 Green Bay Rd.;27;25;12/02/1974 11:20;62605;8387.3210
22;Futoons Cartoons Emporium;1486 Old Deerfield Rd.;24;46;08/10/2000 23:00;73220;51850.6979
23;Glenn Oaks Office Supplies;1882 St. Johns;10;8;03/09/2000 10:47;86100;54079.8900
24;Garfield Appliance Service;3150 Skokie Valley Rd.;33;21;26/06/2001 00:47;74224;85912.7234
25;New Dehli Auto Exchange;1957 Huntington Ave.;49;46;26/05/2005 10:33;50903;82453.0231
26;Kermit the Pet Shop;12 Skokie Valley Rd.;45;1;17/11/1970 03:20;1426.;23810.7660
27;Hibbard Road Suppliers;1858 Balsam Way;28;34;24/11/1974 04:40;26080;8442.0880
28;Peterson Roberts Carpentry;59 Cordon Terr.;12;44;04/09/2006 21:00;96110;43358.8080
29;Acme Chemical Supply;1858 Balsam Way;6;22;29/03/2006 21:22;52443;90392.0276
30;Truck-X Muffler Repair;807 Old Trail Rd.;25;27;07/02/1974 20:13;78564;35453.5004
31;Arthur M. Feildberg Galleries;1220 Heather Lane;37;24;13/05/1992 04:22;82248;70587.6544
32;Cotton Thumb Ltd.;1882 St. Johns;13;10;24/12/1996 20:40;50345;17088.4070
33;Childress Child Day Care;1912 Old Briar Lane #2;22;33;21/03/2000 03:35;2768.;97359.0055
34;Foy Aviation;511 Hill;20;49;11/07/2002 07:02;46631;26404.9352
35;Nyman Interior Design;2505 Allison ct.;47;45;02/01/1970 11:22;38474;90848.6540
36;Got It All Electronics Supply;629 Kincaid Ave.;22;28;29/04/1980 13:40;29440;53380.6126
37;PGS Associates;726 White Oaks Ave.;26;12;17/10/2000 03:53;94198;32720.7556
38;Yale Remins Temp Agency;1912 Old Briar Lane #2;49;6;27/08/1985 04:07;81314;91092.3975
39;Mergenthaler Inc.;673 Calais Drive;45;25;20/10/1971 10:47;30558;73456.6412
40;Elm Place Business Supplies;505 N. Frances St.;16;37;02/02/2006 15:48;33428;86538.1125
41;Parties Galore Golf Course;77 Blackhawk Rd;26;13;06/02/1996 09:47;4122.;28231.0160
42;Glenn Oaks Office Supplies;2600 Winsor Mall;38;22;29/02/1996 13:20;94411;70933.0546
43;Metro Appliance Service;2936 Arlington Ave.;30;20;14/01/1974 20:28;54665;69885.8828
44;Parkway Auto Body;726 White Oaks Ave.;14;47;11/05/1993 14:35;94320;69425.8882
45;Quad City Cleaning;218 Oakridge Ave.;48;22;23/07/1977 18:35;43450;8688.6032
46;Hi-Land Art & Frame;3478 Bryn Mawr St.;12;26;07/12/2006 04:55;74696;76875.3584
47;Brand Y Creative Services;14836 W. River Oaks Dr.;35;49;23/10/1977 05:02;97171;70842.4880
48;George Lee Antiques;632 Roger Williams;46;45;03/08/2007 19:55;65765;70580.8838
49;Johnson, Erico & Co CPA's;5518 Madison St.;17;16;26/10/2002 03:40;89561;99258.1102
50;Trapezoid Studios;1831 Beverly Place #9D;15;26;21/08/1971 06:20;54770;72460.9378
51;American Deli Workers Union;618 Sheriden rd.;4;38;04/09/1974 21:53;11072;9563.7552
52;Schmidt Denists;844 Spruce St.;47;30;24/02/2003 18:27;4500.;3520.5600
53;Crossroads Construction, Inc.;2267 Anderson Lane;5;14;04/06/1989 11:40;46277;63818.8902
54;Jay's Cabinet Company;2024 St.Johns Ave.;48;48;2006-02-29 06:42:00;61386;12933.4726
55;Highland Heights Gift Shop;1799 Rosemary Way;28;12;01/07/2006 00:08;91420;11980.6011
56;Glenn Oaks Office Supplies;1859 Green Bay Rd.;7;35;02/05/1999 00:07;1225.;51734.4826
57;Lee Stairworks and Carpentry,;2644 Princeton Ln.;41;46;24/12/1977 16:02;49648;9700.7312
58;Lambert & Locke Legal Services;662 Lyons Circle;45;17;15/09/1986 21:27;16920;31584.4395
59;Nitelites Party Rental;12 Walker Ave.;37;15;16/09/2004 21:42;87570;87992.7496
60;Vanity Town;1701 W. Mellody Rd.;32;4;21/09/1982 04:35;16120;60499.9252
61;DBN Bank;456 Grossman Ln.;35;47;02/10/2003 08:08;64493;10448.7948
62;BBQ Smith's Tex Mex;1101 Deerfield Place;9;5;24/08/2000 03:00;36616;7362.8436
63;Pivot Point College;1547 Knolwood Rd.;9;48;04/09/2000 22:08;1190.;23856.0000
64;Highland Woods City Hall;430 Oakland Drive;9;28;12/10/2006 21:40;10443;43494.6997
65;Mail Boxes Et. Al.;1859 Green Bay Rd.;30;7;17/02/2001 08:53;16029;78020.4434
66;Smith & Wesson Militia;1750 Lily Court;27;41;04/11/1978 20:40;66326;6676.0347
67;Acturial Enterprises Ltd.;1486 Oakwood;32;45;16/07/2006 17:28;90900;41916.7440
68;Resnick DDS;726 White Oaks Ave.;6;37;25/04/1990 17:13;75566;16911.3445
69;Air Mexico;313 Grove Ave.;6;32;05/11/2003 21:22;63097;44552.0683
70;janice Mann Accounting Service;3181 Barkwood Ct.;28;35;09/02/1989 04:00;38310;64944.0328
71;Pete's Auto Repair;1436 Waverly Rd.;32;9;03/04/2001 10:07;56790;13196.3456
72;Michael Montgomery Hair Saloon;1077 Court Ave.;9;9;19/10/1972 08:22;81313;98985.2492
73;Gordon & Son Brockerage Ltd.;313 Grove Ave.;49;9;27/05/1996 02:20;75558;91936.6018
74;Bee Line Publishing;3344 Beachwood Ln.;46;30;18/02/2006 12:55;33150;51721.2638
75;Green Bay Travel Services;1795 Lake Cook Rd.;28;27;16/12/2006 22:42;39632;99143.6368
76;Caranisco Homes;310 Walker Ave.;39;32;04/02/1994 22:13;37045;68925.7296
77;Doll House Rock;844 Spruce St.;49;6;10/11/1978 06:28;8592.;72500.9600
78;Moveit Motercycle Service;965 Marion Place Apt. 65C;13;6;21/08/1978 16:07;10620;51680.9919
79;Funnyface Amusement Games;511 Hill;12;28;27/03/2005 00:13;8903.;24036.3954
80;Glenwood Credit Union;2870 Skokie Rd.;21;32;08/03/1980 10:40;14095;28588.6032
81;Glassman & Stone;654 Walnut Rd.;19;9;03/02/2007 10:53;21600;43866.2185
82;Yale Remins Temp Agency;628 Orwenstensia;24;49;10/11/1972 16:13;74600;12040.7126
83;Dean Barnett Furniture Repair;2922 Twin Oaks Drive;18;46;25/03/2001 19:33;95750;28880.0560
84;Eva Galler Galleries Inc.;1101 Deerfield Place;8;28;11/03/2000 11:33;33873;28716.9212
85;Shaggy's Grooming Services;1270 Linden Ave.;6;39;12/01/1977 06:53;52760;50992.5684
86;Bako Delicatessen;628 Orwenstensia;19;49;27/03/1971 05:33;90980;2568.5854
87;Cradle the Call;1155 Ridgewood Drive;28;13;23/09/2005 10:22;8250.;24448.5160
88;Truck-X Muffler Repair;45 South Deer Creek Drive;19;12;19/02/1999 04:53;44304;47679.0904
89;Deer Lake Inn;1 Twin Oaks Place;22;21;11/10/1978 14:20;51284;54796.6944
90;Crosstracks Car Wash;505 N. Frances St.;33;19;05/02/2005 22:27;6878.;13900.9230
91;Masterlands Cleaning;313 Grove Ave.;34;24;18/03/1987 21:07;14680;50366.5850
92;Shaggy's Grooming Services;3160 Summit Ave.;7;18;17/11/2000 06:27;67920;58720.5376
93;North West Gas Co.;445 Park Ave.;30;8;12/04/1994 06:08;24287;55640.9436
94;Car Suite Cleaners;120 high St.;6;6;02/06/1974 00:07;63010;3559.9738
95;Cutter Lawn Mower Repair;929 Brittany Ave.;2;19;26/06/2000 21:27;12956;26816.6184
96;Doerner's Awnings and Canopies;616 Cobblestone Cir.;26;28;04/12/2001 13:33;90760;19776.1655
97;Yale Remins Temp Agency;245 Oakridge Ave.;19;19;22/06/2005 04:08;80543;92848.9882
98;Nyman Interior Design;1486 Oakwood;39;22;05/07/2000 08:33;86886;19550.2368
99;Shaggy's Grooming Services;1077 Court Ave.;29;33;19/06/1970 08:08;9468.;8296.3344
100;Johnson, Erico & Co CPA's;2632 Prarie Ln.;44;34;26/07/2006 11:15;89968;17116.1734
101;Bill's Dive Shop;872 Virginia Rd.;7;7;23/06/1980 10:20;62330;39227.7540
102;Bill's Dive Shop;245 Oakridge Ave.;34;30;28/07/1989 12:08;42925;72792.6976
103;Air Mexico;12 Skokie Valley Rd.;31;6;06/03/1992 05:33;62522;72148.9742
104;Metro Appliance Service;2220 Grant Blvd.;39;2;30/10/1977 22:53;25998;24696.3833
105;Caranisco Homes;750 Homewood Ave.;16;26;20/08/2000 04:33;88628;30739.0813
106;Caranisco Homes;1860 Parkside Ln.;40;19;14/02/2001 02:02;82676;46776.9915
107;Camp Oconomowoc;4763 Blackhawk Rd.;25;39;19/09/2005 23:02;45600;73440.9275
108;Air India;135 Lakewood place;9;29;07/06/2000 16:20;3045.;13650.7006
109;Lickmen Restoration;1912 Old Briar Lane #2;23;44;22/11/2000 06:27;14608;27300.3582
